"gse_study","num_patients","sample_names","instrument","type_seq","title"
"GSE241939",168,"GSM7745993","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7745994","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7745995","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7745996","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7745997","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7745998","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7745999","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746000","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746001","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746002","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746003","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746004","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746005","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746006","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746007","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746008","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746009","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746010","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746011","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
"GSE241939",168,"GSM7746012","NextSeq 2000","RNA-Seq","Safe and effective immunostimulatory therapy through vector-controlled cytokine delivery"
